DBN,School Name,Cohort,Demographic,Total Grads - % of cohort,Total Regents - % of cohort,Advanced Regents - % of cohort,Regents w/o Advanced - % of cohort,Local - % of cohort,Still Enrolled - % of cohort,Dropped Out - % of cohort
10X660,GRACE DODGE CAREER AND TECHNICAL EDUC,2005,English Language Learners,19%,6.3%,0%,6.3%,12.7%,46%,33.3%
10X660,GRACE DODGE CAREER AND TECHNICAL EDUC,2006,English Language Learners,24.6%,4.9%,0%,4.9%,19.7%,41%,29.5%
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
11X253,BRONX HIGH SCHOOL FOR WRITING AND COM,2005,English Language Learners,s,s,s,s,s,s,s
11X253,BRONX HIGH SCHOOL FOR WRITING AND COM,2006,English Language Learners,s,s,s,s,s,s,s
11X265,BRONX LAB SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
11X265,BRONX LAB SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
11X270,ACADEMY FOR SCHOLARSHIP AND ENTRENEURSHIP,2005,English Language Learners,s,s,s,s,s,s,s
11X270,ACADEMY FOR SCHOLARSHIP AND ENTRENEURSHIP,2006,English Language Learners,s,s,s,s,s,s,s
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,2005,English Language Learners,s,s,s,s,s,s,s
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,2006,English Language Learners,s,s,s,s,s,s,s
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCI,2005,English Language Learners,s,s,s,s,s,s,s
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCI,2006,English Language Learners,s,s,s,s,s,s,s
11X290,BRONX ACADEMY OF HEALTH CAREERS,2005,English Language Learners,s,s,s,s,s,s,s
11X290,BRONX ACADEMY OF HEALTH CAREERS,2006,English Language Learners,s,s,s,s,s,s,s
11X299,ASTOR COLLEGIATE ACADEMY,2005,English Language Learners,s,s,s,s,s,s,s
11X299,ASTOR COLLEGIATE ACADEMY,2006,English Language Learners,s,s,s,s,s,s,s
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2005,English Language Learners,17.9%,3.6%,0%,3.6%,14.3%,54.8%,15.5%
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2005,English Language Learners,s,s,s,s,s,s,s
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2006,English Language Learners,s,s,s,s,s,s,s
11X425,EVANDER CHILDS HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
11X455,HARRY S TRUMAN HIGH SCHOOL,2005,English Language Learners,50%,22.2%,0%,22.2%,27.8%,27.8%,16.7%
11X455,HARRY S TRUMAN HIGH SCHOOL,2006,English Language Learners,45.2%,16.7%,4.8%,11.9%,28.6%,21.4%,16.7%
11X513,NEW WORLD HIGH SCHOOL,2005,English Language Learners,65.2%,43.5%,6.5%,37%,21.7%,34.8%,0%
11X513,NEW WORLD HIGH SCHOOL,2006,English Language Learners,68.2%,45.5%,11.4%,34.1%,22.7%,27.3%,4.5%
11X514,THE BRONXWOOD PREPARATORY ACADEMY,2005,English Language Learners,s,s,s,s,s,s,s
11X514,THE BRONXWOOD PREPARATORY ACADEMY,2006,English Language Learners,s,s,s,s,s,s,s
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
11X542,PELHAM PREPARATORY ACADEMY,2005,English Language Learners,s,s,s,s,s,s,s
11X542,PELHAM PREPARATORY ACADEMY,2006,English Language Learners,s,s,s,s,s,s,s
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,2005,English Language Learners,s,s,s,s,s,s,s
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,2006,English Language Learners,s,s,s,s,s,s,s
11X545,BRONX AEROSPACE HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
11X545,BRONX AEROSPACE HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
12X245,NEW DAY ACADEMY,2005,English Language Learners,s,s,s,s,s,s,s
12X245,NEW DAY ACADEMY,2006,English Language Learners,s,s,s,s,s,s,s
12X248,METROPOLITAN HIGH SCHOOL  THE,2005,English Language Learners,s,s,s,s,s,s,s
12X248,METROPOLITAN HIGH SCHOOL  THE,2006,English Language Learners,s,s,s,s,s,s,s
12X251,EXPLORATIONS ACADEMY,2005,English Language Learners,s,s,s,s,s,s,s
12X251,EXPLORATIONS ACADEMY,2006,English Language Learners,s,s,s,s,s,s,s
12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
12X271,EAST BRONX ACADEMY FOR THE FUTURE,2005,English Language Learners,s,s,s,s,s,s,s
12X271,EAST BRONX ACADEMY FOR THE FUTURE,2006,English Language Learners,s,s,s,s,s,s,s
12X278,PEACE AND DIVERSITY ACADEMY,2005,English Language Learners,s,s,s,s,s,s,s
12X278,PEACE AND DIVERSITY ACADEMY,2006,English Language Learners,s,s,s,s,s,s,s
12X480,BRONX REGIONAL HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
12X480,BRONX REGIONAL HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
12X550,HIGH SCHOOL OF WORLD CULTURES,2005,English Language Learners,61.3%,38.8%,6.3%,32.5%,22.5%,31.3%,2.5%
12X550,HIGH SCHOOL OF WORLD CULTURES,2006,English Language Learners,68.1%,29.8%,0%,29.8%,38.3%,23.4%,2.1%
12X680,BRONX COALITION COMMUNITY HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
12X680,BRONX COALITION COMMUNITY HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
12X684,WINGS ACADEMY,2005,English Language Learners,s,s,s,s,s,s,s
12X684,WINGS ACADEMY,2006,English Language Learners,s,s,s,s,s,s,s
12X690,MONROE ACADEMY FOR BUSINESS/LAW,2005,English Language Learners,s,s,s,s,s,s,s
12X690,MONROE ACADEMY FOR BUSINESS/LAW,2006,English Language Learners,s,s,s,s,s,s,s
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESI,2005,English Language Learners,17.4%,8.7%,4.3%,4.3%,8.7%,60.9%,4.3%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESI,2006,English Language Learners,46.2%,42.3%,7.7%,34.6%,3.8%,46.2%,7.7%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOO,2005,English Language Learners,s,s,s,s,s,s,s
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOO,2006,English Language Learners,s,s,s,s,s,s,s
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC A,2005,English Language Learners,s,s,s,s,s,s,s
13K412,BROOKLYN COMMUNITY HIGH SCHOOL OF COM,2006,English Language Learners,s,s,s,s,s,s,s
13K419,SCIENCE SKILLS CENTER HIGH SCHOOL FOR,2005,English Language Learners,s,s,s,s,s,s,s
13K419,SCIENCE SKILLS CENTER HIGH SCHOOL FOR,2006,English Language Learners,s,s,s,s,s,s,s
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,2005,English Language Learners,78.8%,46.2%,0%,46.2%,32.7%,17.3%,3.8%
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,2006,English Language Learners,77.4%,77.4%,0%,77.4%,0%,16.7%,6%
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND,2005,English Language Learners,s,s,s,s,s,s,s
13K499,ACORN COMMUNITY HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
13K499,ACORN COMMUNITY HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
13K509,FREEDOM ACADEMY HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
13K509,FREEDOM ACADEMY HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
13K553,BROOKLYN ACADEMY HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
13K575,BEDFORD STUYVESANT PREPARATORY HIGH S,2006,English Language Learners,s,s,s,s,s,s,s
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNI,2005,English Language Learners,s,s,s,s,s,s,s
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNI,2006,English Language Learners,s,s,s,s,s,s,s
13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP A,2005,English Language Learners,s,s,s,s,s,s,s
13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP A,2006,English Language Learners,s,s,s,s,s,s,s
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,2006,English Language Learners,13%,4.3%,0%,4.3%,8.7%,65.2%,21.7%
14K404,ACADEMY FOR YOUNG WRITERS,2006,English Language Learners,s,s,s,s,s,s,s
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONM,2006,English Language Learners,s,s,s,s,s,s,s
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL,2005,English Language Learners,41.2%,5.9%,0%,5.9%,35.3%,32.4%,23.5%
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL,2006,English Language Learners,65.2%,43.5%,0%,43.5%,21.7%,21.7%,8.7%
14K477,SCHOOL FOR LEGAL STUDIES,2005,English Language Learners,s,s,s,s,s,s,s
14K477,SCHOOL FOR LEGAL STUDIES,2006,English Language Learners,s,s,s,s,s,s,s
14K478,THE HIGH SCHOOL FOR ENTERPRISE  BUSIN,2005,English Language Learners,79.2%,54.2%,25%,29.2%,25%,20.8%,0%
14K478,THE HIGH SCHOOL FOR ENTERPRISE  BUSIN,2006,English Language Learners,s,s,s,s,s,s,s
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITEC,2005,English Language Learners,s,s,s,s,s,s,s
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITEC,2006,English Language Learners,s,s,s,s,s,s,s
14K561,WILLIAMSBURG PREPARATORY SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
14K561,WILLIAMSBURG PREPARATORY SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
14K586,LYONS COMMUNITY SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
14K610,AUTOMOTIVE HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
14K610,AUTOMOTIVE HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
14K640,HARRY VAN ARSDALE HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
21K540,JOHN DEWEY HIGH SCHOOL,2005,English Language Learners,30.1%,23.3%,15.1%,8.2%,6.8%,42.5%,20.5%
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTI,2005,English Language Learners,s,s,s,s,s,s,s
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTI,2006,English Language Learners,s,s,s,s,s,s,s
15K027,AGNES Y. HUMPHREY SCHOOL FOR LEADERSH,2006,English Language Learners,s,s,s,s,s,s,s
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,2005,English Language Learners,s,s,s,s,s,s,s
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,2006,English Language Learners,s,s,s,s,s,s,s
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABO,2006,English Language Learners,s,s,s,s,s,s,s
15K462,SECONDARY SCHOOL FOR LAW,2006,English Language Learners,s,s,s,s,s,s,s
15K463,SECONDARY SCHOOL FOR JOURNALISM,2005,English Language Learners,s,s,s,s,s,s,s
15K463,SECONDARY SCHOOL FOR JOURNALISM,2006,English Language Learners,s,s,s,s,s,s,s
15K464,PARK SLOPE COLLEGIATE,2005,English Language Learners,s,s,s,s,s,s,s
15K464,PARK SLOPE COLLEGIATE,2006,English Language Learners,s,s,s,s,s,s,s
15K497,SCHOOL FOR INTERNATIONAL STUDIES,2005,English Language Learners,s,s,s,s,s,s,s
15K497,SCHOOL FOR INTERNATIONAL STUDIES,2006,English Language Learners,s,s,s,s,s,s,s
15K498,ACORN HS FOR SOCIAL JUSTICE,2005,English Language Learners,s,s,s,s,s,s,s
15K498,ACORN HS FOR SOCIAL JUSTICE,2006,English Language Learners,s,s,s,s,s,s,s
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIE,2005,English Language Learners,s,s,s,s,s,s,s
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIE,2006,English Language Learners,s,s,s,s,s,s,s
15K520,PACIFIC HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
15K530,METROPOLITAN CORPORATE ACADEMY HIGH S,2005,English Language Learners,s,s,s,s,s,s,s
15K530,METROPOLITAN CORPORATE ACADEMY HIGH S,2006,English Language Learners,s,s,s,s,s,s,s
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,2005,English Language Learners,s,s,s,s,s,s,s
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
16K393,FREDERICK DOUGLASS ACADEMY IV SECONDA,2006,English Language Learners,s,s,s,s,s,s,s
16K455,BOYS AND GIRLS HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
16K455,BOYS AND GIRLS HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
17K382,ACADEMY FOR COLLEGE PREPARATION AND C,2006,English Language Learners,s,s,s,s,s,s,s
17K408,ACADEMY OF  HOSPITALITY AND TOURISM,2006,English Language Learners,s,s,s,s,s,s,s
17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT,2005,English Language Learners,52.2%,22.8%,0%,22.8%,29.3%,35.9%,7.6%
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT,2006,English Language Learners,34.7%,34.7%,0%,34.7%,0%,53.3%,9.3%
17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHI,2005,English Language Learners,s,s,s,s,s,s,s
17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHI,2006,English Language Learners,s,s,s,s,s,s,s
21K540,JOHN DEWEY HIGH SCHOOL,2006,English Language Learners,57.3%,46.7%,14.7%,32%,10.7%,30.7%,8%
17K531,SCHOOL FOR HUMAN RIGHTS  THE,2005,English Language Learners,s,s,s,s,s,s,s
17K531,SCHOOL FOR HUMAN RIGHTS  THE,2006,English Language Learners,s,s,s,s,s,s,s
17K533,SCHOOL FOR DEMOCRACY AND  LEADERSHIP,2005,English Language Learners,s,s,s,s,s,s,s
17K533,SCHOOL FOR DEMOCRACY AND  LEADERSHIP,2006,English Language Learners,s,s,s,s,s,s,s
17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY D,2005,English Language Learners,s,s,s,s,s,s,s
17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY D,2006,English Language Learners,s,s,s,s,s,s,s
17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT,2005,English Language Learners,s,s,s,s,s,s,s
17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT,2006,English Language Learners,s,s,s,s,s,s,s
17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROE,2005,English Language Learners,s,s,s,s,s,s,s
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE,2005,English Language Learners,s,s,s,s,s,s,s
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE,2006,English Language Learners,s,s,s,s,s,s,s
17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,2005,English Language Learners,s,s,s,s,s,s,s
17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,2006,English Language Learners,s,s,s,s,s,s,s
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHO,2005,English Language Learners,s,s,s,s,s,s,s
17K600,CLARA BARTON HIGH SCHOOL,2005,English Language Learners,33.3%,0%,0%,0%,33.3%,50%,12.5%
17K600,CLARA BARTON HIGH SCHOOL,2006,English Language Learners,37.5%,12.5%,0%,12.5%,25%,20.8%,29.2%
17K625,PAUL ROBESON HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
17K625,PAUL ROBESON HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
18K415,SAMUEL J. TILDEN HIGH SCHOOL,2005,English Language Learners,40.5%,17.6%,4.1%,13.5%,23%,48.6%,5.4%
18K415,SAMUEL J. TILDEN HIGH SCHOOL,2006,English Language Learners,71.7%,21.7%,6.7%,15%,50%,25%,3.3%
18K500,CANARSIE HIGH SCHOOL,2005,English Language Learners,31.3%,6.3%,0%,6.3%,25%,43.8%,12.5%
18K500,CANARSIE HIGH SCHOOL,2006,English Language Learners,41.4%,10.3%,0%,10.3%,31%,34.5%,17.2%
18K515,SOUTH SHORE HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
18K515,SOUTH SHORE HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
18K563,IT TAKES A VILLAGE ACADEMY,2005,English Language Learners,s,s,s,s,s,s,s
18K563,IT TAKES A VILLAGE ACADEMY,2006,English Language Learners,s,s,s,s,s,s,s
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHO,2006,English Language Learners,s,s,s,s,s,s,s
18K578,BROOKLYN BRIDGE ACADEMY,2005,English Language Learners,s,s,s,s,s,s,s
18K578,BROOKLYN BRIDGE ACADEMY,2006,English Language Learners,s,s,s,s,s,s,s
18K635,OLYMPUS ACADEMY,2005,English Language Learners,s,s,s,s,s,s,s
19K409,EAST NEW YORK FAMILY ACADEMY,2005,English Language Learners,s,s,s,s,s,s,s
19K420,FRANKLIN K. LANE HIGH SCHOOL,2005,English Language Learners,26.7%,11.4%,2.9%,8.6%,15.2%,52.4%,19%
19K420,FRANKLIN K. LANE HIGH SCHOOL,2006,English Language Learners,34.5%,22.5%,9%,13.5%,12%,40%,24%
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SA,2006,English Language Learners,s,s,s,s,s,s,s
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,2005,English Language Learners,s,s,s,s,s,s,s
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,2006,English Language Learners,s,s,s,s,s,s,s
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH S,2005,English Language Learners,s,s,s,s,s,s,s
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH S,2006,English Language Learners,s,s,s,s,s,s,s
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEA,2006,English Language Learners,s,s,s,s,s,s,s
19K583,MULTICULTURAL HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
19K615,TRANSIT TECH CAREER AND TECHNICAL EDU,2005,English Language Learners,s,s,s,s,s,s,s
19K615,TRANSIT TECH CAREER AND TECHNICAL EDU,2006,English Language Learners,s,s,s,s,s,s,s
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY,2005,English Language Learners,s,s,s,s,s,s,s
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY,2006,English Language Learners,s,s,s,s,s,s,s
19K660,W. H. MAXWELL CAREER AND TECHNICAL ED,2005,English Language Learners,s,s,s,s,s,s,s
19K660,W. H. MAXWELL CAREER AND TECHNICAL ED,2006,English Language Learners,s,s,s,s,s,s,s
20K445,NEW UTRECHT HIGH SCHOOL,2005,English Language Learners,51.1%,38.7%,23.4%,15.3%,12.4%,37.2%,11.7%
20K445,NEW UTRECHT HIGH SCHOOL,2006,English Language Learners,53.7%,44%,26.1%,17.9%,9.7%,35.8%,8.2%
20K485,HIGH SCHOOL OF  TELECOMMUNICATION ART,2005,English Language Learners,s,s,s,s,s,s,s
20K485,HIGH SCHOOL OF  TELECOMMUNICATION ART,2006,English Language Learners,s,s,s,s,s,s,s
20K490,FORT HAMILTON HIGH SCHOOL,2005,English Language Learners,43.4%,31.9%,15%,16.8%,11.5%,34.5%,19.9%
20K490,FORT HAMILTON HIGH SCHOOL,2006,English Language Learners,44.3%,39.1%,12.2%,27%,5.2%,28.7%,24.8%
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,2005,English Language Learners,43.8%,29.6%,12.4%,17.2%,14.2%,32%,22.1%
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,2006,English Language Learners,46.1%,41%,16.4%,24.6%,5.1%,27.3%,23.4%
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,2005,English Language Learners,88.9%,14.8%,0%,14.8%,74.1%,0%,11.1%
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,2006,English Language Learners,32.1%,7.5%,0%,7.5%,24.5%,56.6%,11.3%
21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL,2005,English Language Learners,s,s,s,s,s,s,s
21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL,2006,English Language Learners,s,s,s,s,s,s,s
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,2006,English Language Learners,s,s,s,s,s,s,s
21K400,LAFAYETTE HIGH SCHOOL,2005,English Language Learners,39%,24.4%,11%,13.4%,14.6%,35.4%,22%
21K400,LAFAYETTE HIGH SCHOOL,2006,English Language Learners,38.5%,19.2%,7.7%,11.5%,19.2%,23.1%,38.5%
21K410,ABRAHAM LINCOLN HIGH SCHOOL,2005,English Language Learners,30.2%,19.8%,5.8%,14%,10.5%,50%,16.3%
21K410,ABRAHAM LINCOLN HIGH SCHOOL,2006,English Language Learners,33.7%,23.8%,5%,18.8%,9.9%,40.6%,21.8%
21K525,EDWARD R. MURROW HIGH SCHOOL,2005,English Language Learners,27.9%,19.7%,4.9%,14.8%,8.2%,45.9%,18%
21K525,EDWARD R. MURROW HIGH SCHOOL,2006,English Language Learners,34.4%,23.4%,10.9%,12.5%,10.9%,48.4%,12.5%
21K620,WILLIAM E. GRADY CAREER AND TECHNICAL,2005,English Language Learners,s,s,s,s,s,s,s
21K620,WILLIAM E. GRADY CAREER AND TECHNICAL,2006,English Language Learners,s,s,s,s,s,s,s
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
22K405,MIDWOOD HIGH SCHOOL,2005,English Language Learners,30.8%,3.8%,0%,3.8%,26.9%,53.8%,11.5%
22K405,MIDWOOD HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
22K425,JAMES MADISON HIGH SCHOOL,2005,English Language Learners,44.6%,31.1%,17.6%,13.5%,13.5%,32.4%,21.6%
22K425,JAMES MADISON HIGH SCHOOL,2006,English Language Learners,37%,23.3%,11%,12.3%,13.7%,34.2%,27.4%
22K495,SHEEPSHEAD BAY HIGH SCHOOL,2005,English Language Learners,40.4%,20.2%,10.1%,10.1%,20.2%,21.3%,34.8%
22K495,SHEEPSHEAD BAY HIGH SCHOOL,2006,English Language Learners,59%,41%,19%,22%,18%,14%,24%
22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE,2005,English Language Learners,s,s,s,s,s,s,s
23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD,2006,English Language Learners,s,s,s,s,s,s,s
23K514,FREDERICK DOUGLASS ACADEMY VII HIGH S,2006,English Language Learners,s,s,s,s,s,s,s
23K643,BROOKLYN DEMOCRACY ACADEMY,2006,English Language Learners,s,s,s,s,s,s,s
23K645,EBC/ENY HIGH SCHOOL FOR PUBLIC SAFETY,2005,English Language Learners,s,s,s,s,s,s,s
23K645,EBC/ENY HIGH SCHOOL FOR PUBLIC SAFETY,2006,English Language Learners,s,s,s,s,s,s,s
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
23K697,TEACHERS PREPARATORY HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
23K697,TEACHERS PREPARATORY HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
24Q264,ACADEMY OF FINANCE AND  ENTERPRISE,2005,English Language Learners,s,s,s,s,s,s,s
24Q264,ACADEMY OF FINANCE AND  ENTERPRISE,2006,English Language Learners,s,s,s,s,s,s,s
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,2005,English Language Learners,s,s,s,s,s,s,s
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,2006,English Language Learners,s,s,s,s,s,s,s
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOO,2006,English Language Learners,s,s,s,s,s,s,s
24Q455,NEWTOWN HIGH SCHOOL,2005,English Language Learners,42.6%,21.6%,12.1%,9.6%,20.9%,28.4%,25.5%
24Q455,NEWTOWN HIGH SCHOOL,2006,English Language Learners,39.6%,27.9%,8.7%,19.2%,11.7%,35.5%,20.8%
24Q485,GROVER CLEVELAND HIGH SCHOOL,2005,English Language Learners,36.4%,9.8%,1.6%,8.2%,26.6%,32.1%,27.7%
24Q485,GROVER CLEVELAND HIGH SCHOOL,2006,English Language Learners,45.3%,18.2%,1.9%,16.4%,27%,32.7%,17%
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARD,2006,English Language Learners,s,s,s,s,s,s,s
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDI,2005,English Language Learners,65.6%,59%,0%,59%,6.6%,24.6%,9.8%
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDI,2006,English Language Learners,40.7%,40.7%,0%,40.7%,0%,48.8%,10.5%
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,2005,English Language Learners,43.5%,21.7%,4.3%,17.4%,21.7%,47.8%,4.3%
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,2006,English Language Learners,69.6%,47.8%,4.3%,43.5%,21.7%,21.7%,8.7%
24Q560,ROBERT F. WAGNER  JR. SECONDARY SCHOO,2005,English Language Learners,s,s,s,s,s,s,s
24Q560,ROBERT F. WAGNER  JR. SECONDARY SCHOO,2006,English Language Learners,s,s,s,s,s,s,s
